codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca,inicio_observaciones,fin_observaciones,cantidad_observaciones,inicio_automatica
1410012,DGA,dga_web,Codpa,1870,-18.8322,-69.7439,14,Costeras R. San Jose-Q.Camarones,141,Quebrada Vitor,1968-12-18,1993-12-30,7096,-
1502006,DGA,dga_web,Cuya,200,-19.1117,-70.1269,15,Q. Rio Camarones,150,Rio Camarones Antes Junta Quebrada De Chiza,1965-11-02,1979-03-31,2451,-
1610004,DGA,dga_web,Q. Camia 3 Km. A. Arriba De Tarcavire,3848,-19.1181,-69.2447,16,Costeras R.Camarones-Pampa Del Tamarugal,161,Quebrada De Camina,2013-06-27,2018-02-04,1573,2013-06-27
1041003,DGA,dga_web,Colchane (T. Isluga),3700,-19.2764,-68.6378,10,Altiplanicas,104,Entre Estero Sencata Y Rio Sacaya,2011-01-01,2018-02-04,2056,2011-01-01
1730018,DGA,dga_web,Lagunillas (Pampa Lirima),4020,-19.9333,-68.8369,17,Pampa Del Tamarugal,173,Quebrada De Tarapaca,1982-09-13,1989-12-29,2570,-
1050007,DGA,dga_web,Coyacagua,4013,-20.0531,-68.8075,10,Altiplanicas,105,Salar Del Huasco,1980-10-15,1994-01-02,4196,-
1740002,DGA,dga_web,Cerro Colorado,2510,-20.065,-69.2703,17,Pampa Del Tamarugal,174,Quebrada De Quipisca,1993-04-14,1994-01-02,174,-
1700010,DGA,dga_web,Huara En Fuerte Baquedano,1100,-20.1308,-69.7497,17,Pampa Del Tamarugal,170,Pampa Del Tamarugal,1993-03-08,1993-05-30,84,-
1051003,DGA,dga_web,Salar Huasco,3800,-20.2761,-68.8861,10,Altiplanicas,105,Salar Del Huasco,1981-08-04,1982-06-30,294,-
1700008,DGA,dga_web,Esmeralda,1115,-20.4842,-69.3814,17,Pampa Del Tamarugal,170,Pampa Del Tamarugal,1966-09-04,1973-11-22,934,-
1080001,DGA,dga_web,Ujina,4300,-20.9714,-68.6275,10,Altiplanicas,108,Salar De Michincha,1973-11-10,1983-06-30,2066,-
2000001,DGA,dga_web,Ollague,3700,-21.2233,-68.2494,20,Fronterizas Salar Michincha-R.Loa,200,Salar De Ollague,1973-11-08,2018-02-02,3116,2016-11-01
2020001,DGA,dga_web,Cebollar,3730,-21.5311,-68.3386,20,Fronterizas Salar Michincha-R.Loa,202,Salar De Ascotan,1969-11-11,1988-09-02,4361,-
2101003,DGA,dga_web,Lequena,3320,-21.6553,-68.6611,21,Rio Loa,210,Rio Loa Alto (Bajo Junta Rio Salado),1984-03-15,1989-11-23,1630,-
2112008,DGA,dga_web,Quillagua,802,-21.6603,-69.5358,21,Rio Loa,211,Loa Medio (Entre R.  Salado Y Q. De Barrera),1969-06-30,1979-06-29,1765,-
2020002,DGA,dga_web,Ascotan,3970,-21.7253,-68.2756,20,Fronterizas Salar Michincha-R.Loa,202,Salar De Ascotan,1974-10-31,1983-03-05,2235,-
2103008,DGA,dga_web,Parshall N 2,3318,-21.9428,-68.5175,21,Rio Loa,210,Rio Loa Alto (Bajo Junta Rio Salado),1969-02-02,1994-01-02,7939,-
2103009,DGA,dga_web,Ojos San Pedro,3800,-21.9706,-68.3128,21,Rio Loa,210,Rio Loa Alto (Bajo Junta Rio Salado),1969-03-25,1989-12-29,3591,-
2104008,DGA,dga_web,Conchi Embalse,3010,-22.025,-68.6242,21,Rio Loa,210,Rio Loa Alto (Bajo Junta Rio Salado),1967-09-19,1994-01-02,6814,-
2104009,DGA,dga_web,Conchi Muro Embalse,3000,-22.0267,-68.6208,21,Rio Loa,210,Rio Loa Alto (Bajo Junta Rio Salado),1980-12-04,1991-05-13,3685,-
2103010,DGA,dga_web,Inacaliri,4040,-22.0278,-68.0661,21,Rio Loa,210,Rio Loa Alto (Bajo Junta Rio Salado),1969-01-28,1992-09-18,6826,-
2210002,DGA,dga_web,Tocopilla,150,-22.0797,-70.1897,22,Costeras R.Loa-Q.Caracoles,221,Costeras Entre Q. Iquine Y Q.Tocopilla (Inclusive),2014-01-01,2018-01-01,815,2014-01-01
2105016,DGA,dga_web,Linzor,4100,-22.2297,-68.0228,21,Rio Loa,210,Rio Loa Alto (Bajo Junta Rio Salado),1973-11-22,2018-02-04,8762,2005-12-15
2105015,DGA,dga_web,Turi,3070,-22.2408,-68.2881,21,Rio Loa,210,Rio Loa Alto (Bajo Junta Rio Salado),1980-05-31,1993-05-29,4539,-
2105017,DGA,dga_web,Toconce,3310,-22.2592,-68.1733,21,Rio Loa,210,Rio Loa Alto (Bajo Junta Rio Salado),1993-10-05,1994-01-02,88,-
2105018,DGA,dga_web,Ayquina,3031,-22.2753,-68.3183,21,Rio Loa,210,Rio Loa Alto (Bajo Junta Rio Salado),1993-06-01,1994-01-02,204,-
2105020,DGA,dga_web,Salado Embalse,3200,-22.2856,-68.2028,21,Rio Loa,210,Rio Loa Alto (Bajo Junta Rio Salado),2005-10-19,2018-02-04,3117,2005-10-19
2105021,DGA,dga_web,Caspana,3260,-22.3367,-68.2122,21,Rio Loa,210,Rio Loa Alto (Bajo Junta Rio Salado),1973-08-11,1994-01-02,6840,-
2104010,DGA,dga_web,Chiu-Chiu,2524,-22.3378,-68.6367,21,Rio Loa,210,Rio Loa Alto (Bajo Junta Rio Salado),1979-06-12,1994-01-02,4798,-
2105022,DGA,dga_web,El Tatio,4370,-22.3711,-68.0133,21,Rio Loa,210,Rio Loa Alto (Bajo Junta Rio Salado),1983-01-04,2018-02-04,5859,2006-01-01
2112009,DGA,dga_web,Coya Sur,1250,-22.3939,-69.6225,21,Rio Loa,211,Loa Medio (Entre R.  Salado Y Q. De Barrera),1973-11-19,1991-06-30,5370,-
2110013,DGA,dga_web,Calama,2300,-22.4494,-68.9044,21,Rio Loa,211,Loa Medio (Entre R.  Salado Y Q. De Barrera),1969-02-08,1994-01-02,7113,-
2700001,DGA,dga_web,Sierra Gorda,1616,-22.8892,-69.3219,27,Quebrada Caracoles,270,Quebrada Caracoles Bajo Junta Quebrada El Buitre,2014-01-01,2018-02-04,818,2014-01-01
2510006,DGA,dga_web,San Pedro De Atacama,2450,-22.9053,-68.2003,25,Salar De Atacama,251,Rio San Pedro,1973-08-17,1989-03-30,4930,-
2500016,DGA,dga_web,Toconao Experimental,2500,-23.1889,-67.9978,25,Salar De Atacama,250,Salar De Atacama,1981-10-27,1994-01-02,1669,-
2710002,DGA,dga_web,Baquedano,1032,-23.3336,-69.8397,27,Quebrada Caracoles,271,Q. Caracoles Entre Quebrada El Buitre Y  Salar Del Carmen,1973-11-16,2018-02-04,5037,2014-01-01
2240000,DGA,dga_web,Liceo CientÍFico Humanista La Chimba,0,-23.5544,-70.3933,22,Costeras R.Loa-Q.Caracoles,224,Costeras Entre Qs. Chacaya Y Caracoles (Incl.),2014-01-01,2016-12-02,449,2014-01-01
2500019,DGA,dga_web,Socaire,3251,-23.5869,-67.8925,25,Salar De Atacama,250,Salar De Atacama,1974-08-08,1994-01-02,1960,-
2710003,DGA,dga_web,Antofagasta,50,-23.5975,-70.3867,27,Quebrada Caracoles,271,Q. Caracoles Entre Quebrada El Buitre Y  Salar Del Carmen,1978-05-30,1987-10-30,3229,-
2500020,DGA,dga_web,Peine,2460,-23.6842,-68.0581,25,Salar De Atacama,250,Salar De Atacama,1974-11-22,1994-01-02,5975,-
2660001,DGA,dga_web,Monturaqui,3430,-24.3414,-68.4353,26,Endorreicas Salar Atacama-Vertiente Pacifico,266,Pampa De Socompa,1974-11-14,1980-06-20,1821,-
2942001,DGA,dga_web,Aguas Verdes,1560,-25.4,-69.9633,29,Costeras Entre Q. La Negra Y Q. Pan De Azucar,294,Quebrada De Taltal,1988-12-26,1994-01-02,1253,-
2943002,DGA,dga_web,Tal-Tal (Dcp),0,-25.4033,-70.4797,29,Qs.Entre Q. La Negra Y Q. Pan De Azucar,294,Quebrada De Taltal,2014-01-01,2018-02-04,930,2014-01-01
3210001,DGA,dga_web,Las Vegas,2250,-26.6781,-69.6656,32,Rio Salado,321,Quebrada Del Chanaral,2016-10-05,2018-02-04,373,2016-10-05
3450004,DGA,dga_web,Copiapo,385,-27.3772,-70.3308,34,Rio Copiapo,345,R.  Copiapo Bajo,1984-06-04,2018-02-04,3582,2016-01-01
3430007,DGA,dga_web,Los Loros,940,-27.8317,-70.1119,34,Rio Copiapo,343,R.  Copiapo Medio,1993-02-06,1994-01-02,324,-
3430006,DGA,dga_web,Lautaro Embalse,1110,-27.9783,-70.0033,34,Rio Copiapo,343,R.  Copiapo Medio,1969-06-22,2018-02-04,8198,2016-09-01
3414001,DGA,dga_web,Rio Pulido En Vertedero,1310,-28.0858,-69.9408,34,Rio Copiapo,341,Rio Pulido,2016-01-01,2018-02-04,665,2016-01-01
3414002,DGA,dga_web,Iglesia Colorada,1550,-28.1572,-69.8808,34,Rio Copiapo,341,Rio Pulido,1993-02-12,1994-01-02,322,-
3826003,DGA,dga_web,Huasco Bajo,50,-28.4725,-71.1931,38,Rio Huasco,382,Rio Huasco,1993-02-23,1993-12-31,310,-
3823004,DGA,dga_web,La Compaia (Vallenar),430,-28.5761,-70.8081,38,Rio Huasco,382,Rio Huasco,1993-02-01,1994-01-02,335,-
3800000,DGA,dga_web,Portezuelo El Gaucho,4000,-28.6231,-70.045,38,Rio Huasco,380,Rio Transito,2000-01-01,2018-02-04,2950,2000-01-01
3820004,DGA,dga_web,Santa Juana,560,-28.6672,-70.6625,38,Rio Huasco,382,Rio Huasco,1965-01-21,2018-02-04,9714,2016-09-08
3820002,DGA,dga_web,Rio Huasco En Chepica,600,-28.6997,-70.55,38,Rio Huasco,382,Rio Huasco,2015-12-17,2015-12-18,2,2015-12-17
3806002,DGA,dga_web,El Transito,1100,-28.8731,-70.2822,38,Rio Huasco,380,Rio Transito,1993-01-20,2018-02-04,1418,2015-01-01
3815004,DGA,dga_web,San Felix,1150,-28.9311,-70.4614,38,Rio Huasco,381,Rio Del Carmen,1993-01-19,1994-01-02,338,-
3802001,DGA,dga_web,Rio Conay En Las Lozas,0,-28.9456,-70.1011,38,Rio Huasco,380,Rio Transito,2016-10-19,2017-05-25,219,2016-10-19
3802005,DGA,dga_web,Conay,1450,-28.975,-70.1533,38,Rio Huasco,380,Rio Transito,1965-01-21,1992-11-29,6816,-
3804005,DGA,dga_web,El Parral,1400,-28.9797,-70.1986,38,Rio Huasco,380,Rio Transito,1993-05-31,1993-12-31,201,-
3814003,DGA,dga_web,Rio Carmen En El Corral,2000,-29.1094,-70.4139,38,Rio Huasco,381,Rio Del Carmen,2016-10-19,2018-02-04,457,2016-10-19
4120001,DGA,dga_web,El Trapiche,300,-29.3731,-71.1181,41,Rio Los Choros,412,Q. Los Choros Entre Q. Del Pelicano Y Desembocadura,1979-04-17,1993-12-31,5029,-
4335002,DGA,dga_web,La Serena (Escuela Agricola),15,-29.9061,-71.2556,43,Rio Elqui,433,R. Elqui Bajo,1972-07-03,1978-06-02,1337,-
4308001,DGA,dga_web,Rio Turbio En Varillar,890,-29.9458,-70.5328,43,Rio Elqui,430,Rio Turbio,2016-09-01,2018-02-04,323,2016-09-01
4302001,DGA,dga_web,Rio Toro Antes Junta Rio La Laguna,2165,-29.9711,-70.0928,43,Rio Elqui,430,Rio Turbio,2016-09-01,2018-02-04,496,2016-09-01
4302014,DGA,dga_web,Juntas,2150,-29.9769,-70.0944,43,Rio Elqui,430,Rio Turbio,1990-01-01,1993-12-31,1388,-
4308003,DGA,dga_web,Rivadavia,820,-29.9772,-70.5617,43,Rio Elqui,430,Rio Turbio,1972-06-13,1993-12-31,7268,-
4314002,DGA,dga_web,Rio Claro En Rivadavia,820,-29.9781,-70.5525,43,Rio Elqui,431,Rio Claro,2016-09-02,2018-02-04,485,2016-09-02
4323007,DGA,dga_web,Almendral,370,-29.9822,-70.9186,43,Rio Elqui,432,R. Elqui Medio,1973-04-12,1989-07-30,5480,-
4321001,DGA,dga_web,Puclaro Embalse,460,-29.9964,-70.8556,43,Rio Elqui,432,R. Elqui Medio,1964-04-14,1967-04-28,1080,-
4400002,DGA,dga_web,Pan De Azucar,100,-30.0022,-71.2592,44,Costeras Entre Elqui Y Limari,440,E.  El Culebron - Q. El Romeral (Incl.),1978-08-29,1993-09-26,3816,-
4311005,DGA,dga_web,La Ortiga,1560,-30.1939,-70.4819,43,Rio Elqui,431,Rio Claro,1979-01-29,1993-12-31,5314,-
4301005,DGA,dga_web,La Laguna Embalse,3160,-30.2033,-70.0422,43,Rio Elqui,430,Rio Turbio,1976-07-16,1993-12-31,6005,-
4502005,DGA,dga_web,Hurtado,1100,-30.2867,-70.6961,45,Rio Limari,450,Rio Hurtado,1979-02-26,1993-12-30,5133,-
4502004,DGA,dga_web,La Cortadera,920,-30.3503,-70.77,45,Rio Limari,450,Rio Hurtado,1967-06-24,1973-11-23,2117,-
4503001,DGA,dga_web,Rio Hurtado En Angostura De Pangue,485,-30.4386,-71.0022,45,Rio Limari,450,Rio Hurtado,2017-06-09,2018-01-01,51,2017-06-09
4506007,DGA,dga_web,Recoleta Embalse,350,-30.5069,-71.0997,45,Rio Limari,450,Rio Hurtado,1989-10-23,1993-12-31,1488,-
4551004,DGA,dga_web,Ovalle (Escuela Agricola),340,-30.5528,-71.1642,45,Rio Limari,455,Rio Limari,1977-10-24,1983-02-25,1461,-
4557001,DGA,dga_web,Salala,100,-30.6783,-71.53,45,Rio Limari,455,Rio Limari,1969-03-25,1977-07-29,2581,-
4540006,DGA,dga_web,Paloma Embalse,320,-30.6958,-71.0361,45,Rio Limari,454,Rio Grande Bajo (Entre Embalse Paloma Y Rio Hurtado),1966-01-03,1993-12-31,9307,-
4523004,DGA,dga_web,Puntilla San Juan,430,-30.7025,-70.9178,45,Rio Limari,452,R. Grande Medio (Arriba Junta R. Rapel Y R. Guatulame O Muro Emb. Paloma),1968-06-17,1979-02-16,3882,-
4523002,DGA,dga_web,Rio Grande En Puntilla San Juan,420,-30.7047,-70.9244,45,Rio Limari,452,Rio Grande Medio (Arriba Junta Rapel Y E Paloma),2017-01-01,2018-01-01,155,2017-01-01
4537003,DGA,dga_web,El Tome,420,-30.8178,-70.9706,45,Rio Limari,453,R. Guatulame (Muro Embalse Paloma),1968-10-21,1988-06-16,7018,-
4513004,DGA,dga_web,Caren,740,-30.8547,-70.7708,45,Rio Limari,451,Rio Grande Alto (Hasta Arriba Junta Rio Rapel),1967-06-12,1993-12-31,8942,-
4511004,DGA,dga_web,Cerro Vega Negra,3600,-30.9033,-70.5158,45,Rio Limari,451,Rio Grande Alto (Hasta Arriba Junta Rio Rapel),1999-02-26,2018-02-04,5332,1999-02-26
4535001,DGA,dga_web,Cogoti Embalse,740,-31.0078,-71.0856,45,Rio Limari,453,R. Guatulame (Muro Embalse Paloma),1965-01-15,1993-12-26,10381,-
4511003,DGA,dga_web,Las Ramadas,1380,-31.0181,-70.5858,45,Rio Limari,451,Rio Grande Alto (Hasta Arriba Junta Rio Rapel),1968-06-13,1993-12-31,8151,-
4531002,DGA,dga_web,Rio Cogoti Entrada Embalse Cogoti,670,-31.0325,-71.0403,45,Rio Limari,453,Rio Huatulame (Muro Embalse Paloma),2014-01-01,2018-02-04,1099,2014-01-01
4530001,DGA,dga_web,Rio Cogoti En Fraguita,1065,-31.1119,-70.885,45,Rio Limari,453,R. Guatulame (Muro Embalse Paloma),2014-01-01,2017-10-16,792,2014-01-01
4721001,DGA,dga_web,Rio Illapel En Las Burras,1079,-31.5069,-70.8125,47,Rio Choapa,472,Rio Illapel,2013-09-10,2014-05-20,252,2013-09-10
4722001,DGA,dga_web,Santa Virginia,980,-31.5503,-70.8353,47,Rio Choapa,472,Rio Illapel,1979-02-14,1989-03-26,3332,-
4723001,DGA,dga_web,Rio Illapel En Huintil,775,-31.5608,-70.9644,47,Rio Choapa,472,Rio Illapel,2016-09-01,2018-02-04,522,2016-09-01
4726003,DGA,dga_web,Illapel Dga,290,-31.645,-71.1908,47,Rio Choapa,472,Rio Illapel,1975-08-05,1993-12-31,6374,-
4710001,DGA,dga_web,La Tranquilla,1000,-31.9,-70.6706,47,Rio Choapa,471,Rio Choapa Medio (Entre Rios Cuncumen E Illapel),1966-01-03,1993-12-31,9179,-
4810003,DGA,dga_web,Caimanes,450,-31.9322,-71.1361,48,Costeras Entre R.Choapa Y R.Quilimari,481,Estero Pupio,1989-08-09,1993-11-07,1313,-
4700002,DGA,dga_web,El Soldado,3290,-32.0067,-70.3214,47,Rio Choapa,470,Rio Choapa Alto (Hasta Abajo Junta Rio Cuncumen),2000-01-01,2018-02-04,3744,2000-01-01
4902002,DGA,dga_web,Los Condores,190,-32.1086,-71.3125,49,Rio Quilimari,490,Rio Quilimari Hasta Muro Embalse Culimo,1977-07-25,1993-12-31,5394,-
5200006,DGA,dga_web,Alicahue,750,-32.3408,-70.7528,52,Rio Ligua,520,Rio Ligua Alto (Estero Alicahue),1968-02-17,1993-12-26,8171,-
5414001,DGA,dga_web,Rio Putaendo En Resguardo Los Patos,1218,-32.5017,-70.5811,54,Rio Aconcagua,541,Aconcagua Medio,2014-01-01,2018-02-04,798,2014-01-01
5404001,DGA,dga_web,Canal Colorado En Bocatoma,1391,-32.8347,-70.3533,54,Rio Aconcagua,540,Aconcagua Alto,2014-01-01,2018-02-04,1291,2014-01-01
5401007,DGA,dga_web,Portillo,3000,-32.8444,-70.1108,54,Rio Aconcagua,540,Rio Aconcagua Alto (Rio Colorado Y E. Riecillos),2003-01-01,2018-02-04,3522,2003-01-01
5410002,DGA,dga_web,Rio Aconcagua En Chacabuquito,950,-32.8503,-70.5094,54,Rio Aconcagua,541,Aconcagua Medio,2000-01-01,2018-02-04,4944,2000-01-01
5410006,DGA,dga_web,Vilcuya,1100,-32.8603,-70.4719,54,Rio Aconcagua,541,Aconcagua Medio,1972-01-11,1993-12-31,7153,-
5401003,DGA,dga_web,Rio Juncal En Juncal,1800,-32.8625,-70.1675,54,Rio Aconcagua,540,Aconcagua Alto,2014-01-01,2018-02-04,1231,2014-01-01
5426004,DGA,dga_web,Quillota,130,-32.8958,-71.2092,54,Rio Aconcagua,542,Aconcagua Bajo,1978-01-01,1993-12-31,5526,-
5403002,DGA,dga_web,Rio Aconcagua En Rio Blanco,1420,-32.9067,-70.3036,54,Rio Aconcagua,540,Aconcagua Alto,2014-01-01,2018-02-04,1216,2014-01-01
5500003,DGA,dga_web,Las Salinas,20,-33.0019,-71.5467,55,Costeras Entre Aconcagua Y Maipo,550,E. Marga-Marga,2013-08-14,2018-02-04,1364,2013-08-14
5733008,DGA,dga_web,Rungue Embalse,700,-33.0194,-70.9081,57,Rio Maipo,573,Rio Mapocho Bajo,1977-07-11,1993-12-31,5774,-
5510001,DGA,dga_web,Rodelillo,110,-33.0503,-71.5833,55,Costeras Entre Aconcagua Y Maipo,551,Lago Penuelas,2014-01-01,2018-02-04,1200,2014-01-01
5510005,DGA,dga_web,Cerro Colorado Armada De Chile,510,-33.0819,-71.6169,55,Costeras Entre Aconcagua Y Maipo,551,Lago Penuelas,2014-01-01,2018-02-04,1294,2014-01-01
5427006,DGA,dga_web,Lliu-Lliu Embalse,260,-33.0986,-71.2144,54,Rio Aconcagua,542,Aconcagua Bajo,1979-03-14,1993-11-28,4856,-
5510002,DGA,dga_web,Lago Peuelas,360,-33.145,-71.5553,55,Costeras Entre Aconcagua Y Maipo,551,Lago Penuelas,1974-04-02,1993-12-31,6649,-
5706003,DGA,dga_web,Valle Olivares,2787,-33.1869,-70.1122,57,Rio Maipo,570,Rio Maipo Alto,2014-01-01,2018-02-04,1359,2014-01-01
5721017,DGA,dga_web,Estero Yerba Loca En Piedra Carvajal,3250,-33.2214,-70.2736,57,Rio Maipo,572,Rio Mapocho Alto,2011-01-01,2018-02-04,2221,2011-01-01
5721016,DGA,dga_web,Rio San Francisco Antes Junta Estero Yerba Loca,1550,-33.3086,-70.3572,57,Rio Maipo,572,Rio Mapocho Alto,2011-01-01,2018-02-04,2086,2011-01-01
5722001,DGA,dga_web,Estero Arrayan En La Montosa,880,-33.3256,-70.4561,57,Rio Maipo,572,Rio Mapocho Alto,2013-08-05,2018-02-04,1608,2013-08-05
5721001,DGA,dga_web,Estero Yerba Loca Antes Junta San Francisco,1350,-33.3414,-70.3636,57,Rio Maipo,572,Rio Mapocho Alto,2013-10-21,2018-02-04,1564,2013-10-21
5722002,DGA,dga_web,Rio Mapocho En Los Almendros,966,-33.3703,-70.4508,57,Rio Maipo,572,Rio Mapocho Alto,1999-08-02,2016-04-30,4547,1999-08-02
5730012,DGA,dga_web,Cerro Calan,848,-33.395,-70.5367,57,Rio Maipo,573,Rio Mapocho Bajo,1978-01-03,2018-02-04,8341,2000-01-01
5744002,DGA,dga_web,Los Panguiles,190,-33.4386,-71.0256,57,Rio Maipo,574,Rio Maipo Bajo (Entre Rio Mapocho Y Desembocadura),1980-11-04,1993-12-31,4517,-
5730016,DGA,dga_web,Terraza Oficinas Centrales Dga,560,-33.4486,-70.6444,57,Rio Maipo,573,Rio Mapocho Bajo,2011-01-01,2018-02-04,2193,2011-01-01
5706001,DGA,dga_web,Rio Olivares Antes Junta Rio Colorado,1500,-33.4878,-70.1367,57,Rio Maipo,570,Rio Maipo Alto,2016-11-01,2018-02-04,459,2016-11-01
5705001,DGA,dga_web,Rio Colorado Antes Junta Rio Olivares,1500,-33.49,-70.1342,57,Rio Maipo,570,Rio Maipo Alto,2016-11-13,2018-01-01,326,2016-11-13
5737002,DGA,dga_web,Rio Mapocho Rinconada De Maipu,440,-33.4961,-70.8167,57,Rio Maipo,573,Rio Mapocho Bajo,2013-08-09,2017-05-13,1237,2013-08-09
5730015,DGA,dga_web,Campus San Joaquin U.C.,570,-33.4975,-70.6142,57,Rio Maipo,573,Rio Mapocho Bajo,1978-01-03,1981-10-16,1087,-
5730039,DGA,dga_web,Quebrada De Macul,950,-33.5017,-70.5144,57,Rio Maipo,573,Rio Mapocho Bajo,2003-05-06,2018-02-04,3140,2003-05-06
5703011,DGA,dga_web,Glaciar Echaurren,3850,-33.5722,-70.1283,57,Rio Maipo,570,Rio Maipo Alto (Hasta Despues Junta Rio Colorado),1999-03-04,2002-08-18,1081,-
5710001,DGA,dga_web,Rio Maipo En El Manzano,850,-33.5939,-70.3792,57,Rio Maipo,571,Rio Maipo Medio,2011-01-01,2018-02-04,2192,2011-01-01
5703009,DGA,dga_web,Laguna Negra,2780,-33.6658,-70.1078,57,Rio Maipo,570,Rio Maipo Alto (Hasta Despues Junta Rio Colorado),2000-01-01,2018-02-04,3844,2000-01-01
5711003,DGA,dga_web,Pirque,659,-33.6736,-70.5869,57,Rio Maipo,571,Rio Maipo Medio,1975-07-10,1993-12-31,4692,-
5703008,DGA,dga_web,El Yeso Embalse,2475,-33.6767,-70.0886,57,Rio Maipo,570,Rio Maipo Alto,1977-07-26,1993-12-31,5449,-
5740005,DGA,dga_web,Melipilla,168,-33.6803,-71.1997,57,Rio Maipo,574,Rio Maipo Bajo (Entre Rio Mapocho Y Desembocadura),1971-06-03,1993-12-31,5826,-
5702011,DGA,dga_web,Glaciar San Franciscoen Aguas Panimavida,2220,-33.8053,-70.07,57,Rio Maipo,570,Rio Maipo Alto,2011-01-01,2018-02-04,1990,2011-01-01
5702001,DGA,dga_web,Rio Volcan En Queltehues,1365,-33.8056,-70.2089,57,Rio Maipo,570,Rio Maipo Alto,2016-11-01,2018-02-04,461,2016-11-01
5701008,DGA,dga_web,Queltehues,1450,-33.8164,-70.2172,57,Rio Maipo,570,Rio Maipo Alto,1978-01-10,1978-12-31,342,-
5701005,DGA,dga_web,Las Melosas,1527,-33.8994,-70.1981,57,Rio Maipo,570,Rio Maipo Alto,1978-01-03,1984-05-25,2298,-
6011001,DGA,dga_web,Estero De La Cadena Antes Junta Rio Cachapoal,440,-34.1842,-70.8436,60,Rio Rapel,600,Rio Cachapoal Bajo (Bajo Jta Rio Claro Y E Rapel),2017-01-01,2018-02-04,395,2017-01-01
6003001,DGA,dga_web,Rio Cachapoal 5 Km. Aguas Abajo Junta Cortaderal,1127,-34.3464,-70.3764,60,Rio Rapel,600,Rio Cachapoal Alto (Hasta Bajo Junta Rio Claro),2011-01-01,2016-06-29,939,2011-01-01
6000003,DGA,dga_web,Rio Las Leas Ante Junta Rio Cachapoal,1296,-34.3628,-70.3056,60,Rio Rapel,600,Rio Cachapoal Alto (Hasta Bajo Junta Rio Claro),2015-01-01,2018-02-04,1051,2015-01-01
